id,llovieron_hamburguesas_al_dia_siguiente
86942,no
102098,no
67154,no
50245,no
82904,no
11961,no
14693,no
53154,si
97835,no
77540,no
88100,no
138643,no
11198,no
136263,no
129130,si
86898,no
86390,no
102331,no
31393,no
124615,no
73300,no
74322,si
63361,si
128174,
130965,no
31372,si
19108,no
50069,no
120782,si
19289,no
87629,no
107958,no
31626,si
144381,si
83711,si
65098,no
1460,no
125959,no
74269,no
49137,no
16586,
13632,no
13303,no
105128,no
79882,no
116304,no
120873,no
77293,si
55398,no
62188,no
101068,no
24021,
37220,no
32992,si
135665,si
107139,no
11692,no
97566,no
60853,si
72134,no
90216,no
44621,no
141585,no
86142,si
16580,no
66474,si
78122,no
136454,no
40984,si
122765,si
10091,no
12578,no
36816,si
33211,no
61173,no
134461,no
76384,no
136918,no
84967,si
4890,si
38777,no
107137,no
20650,si
74068,no
74010,no
104775,no
75731,no
65241,no
15445,no
94204,no
40950,si
81619,no
85190,no
8405,no
33583,si
20062,no
130468,no
119711,no
48085,no
56425,si
24475,no
68661,no
115284,si
317,si
103182,no
134758,si
49687,no
107689,no
117539,no
86628,si
120564,no
78867,no
87398,no
49842,no
110639,no
59598,no
92182,no
22358,no
67610,no
142375,no
28674,no
31121,si
142262,no
62723,no
45961,no
48390,no
16805,si
47416,no
114440,no
108203,no
66266,si
58060,no
99506,no
129206,no
37546,no
64072,no
34107,no
141835,si
100655,no
72834,no
13981,
28237,no
40457,
32079,si
6726,no
132786,no
127890,no
95234,no
3808,no
102066,no
67615,no
69722,
129541,si
79728,no
18803,no
106126,no
7110,no
17190,no
1735,no
98886,no
127300,si
126484,no
34034,si
120859,no
45723,no
75793,no
114711,no
105782,no
49361,no
8170,no
101609,no
101941,no
84439,no
5078,no
7159,no
27718,no
51898,no
104067,no
40604,no
71075,no
60624,no
102337,no
102591,no
49308,no
74598,no
46886,no
59756,no
144680,no
48877,no
42664,no
94041,no
88569,no
62008,no
20203,si
100843,si
12172,no
22975,no
83855,no
74987,no
115757,no
60161,no
144183,no
92826,no
95614,no
90946,si
93292,no
59356,no
49729,si
15006,no
101840,si
96753,no
63685,no
72218,no
144694,no
127045,no
111262,si
11517,si
94910,no
108807,no
57206,si
59963,no
11445,si
83680,si
33232,no
24792,no
50132,no
137400,no
116993,no
72679,no
89427,no
143037,no
103000,no
97401,si
48309,no
56752,si
96907,no
62422,no
19235,no
29629,no
56020,no
18764,no
44835,
78472,no
50259,no
12640,si
85841,no
30940,no
77006,
84953,si
12399,no
43293,no
69316,si
105795,no
144130,no
85818,no
21048,no
100529,no
33989,no
13147,
113541,si
95102,no
141479,no
1996,si
82789,no
72067,no
64925,no
45675,no
80796,no
9963,no
131072,no
91607,no
106096,no
54990,no
88120,no
8165,no
34227,no
132560,no
78952,no
15884,si
75045,no
91658,si
12,si
20103,si
142606,si
125006,no
81129,si
52074,si
128205,no
13803,no
18208,no
24573,no
87831,no
130217,si
80766,no
75765,no
55294,no
106478,no
136300,no
91308,no
54558,no
85990,si
127588,no
102520,
107739,no
93674,si
119730,no
144615,no
73380,no
95767,si
55997,no
111825,no
120221,no
2461,no
78418,si
25132,si
17443,si
9337,no
91553,no
57896,no
1432,no
296,si
100030,no
15756,no
60942,no
14045,no
17876,no
11799,no
125463,no
54575,no
6471,no
52701,no
63955,no
35863,no
139042,no
75752,no
112844,no
102689,no
91550,no
113570,no
60628,no
94214,no
34728,no
47522,no
13099,no
141715,no
116889,si
24561,si
95647,si
74836,no
84348,si
108043,no
85520,no
94502,no
142689,no
51866,no
81691,no
2054,no
61605,no
34515,no
49096,si
139815,no
58446,si
53752,no
95710,no
133,no
54261,no
32844,no
82476,no
101226,si
22503,no
121679,no
140857,no
49804,no
87295,si
83264,no
114646,no
85664,si
30879,no
116214,si
46160,no
19300,no
17072,no
83988,no
102230,no
141803,si
103748,no
89871,no
125298,no
44728,si
15625,si
125351,no
53265,si
64624,no
56990,si
40361,si
23306,no
123587,no
38218,no
82566,no
71865,no
103801,no
100182,no
129361,si
26151,no
121707,no
112150,si
135804,si
111936,no
113503,no
118421,no
52919,no
91146,no
89241,no
112510,si
20155,si
16240,no
114620,no
14028,no
87769,no
81503,no
37732,no
139470,no
68931,no
80789,no
129038,no
42745,si
104452,no
137628,no
115893,no
115798,no
93663,no
74658,no
64845,no
124221,no
67225,si
92301,no
23708,no
61910,no
84598,no
27442,no
110614,no
32064,no
137526,no
10465,no
94751,no
132911,no
95441,no
108911,si
9740,no
72606,no
32711,no
67312,si
130158,no
6590,no
10230,si
49817,si
83929,si
95193,no
95226,no
21889,si
79943,si
97028,si
74796,no
132899,no
101661,no
14726,no
51825,no
13312,no
40657,
131468,si
109484,si
69154,no
104379,no
83972,si
95131,si
112365,
15565,no
28204,si
1033,no
66973,si
59551,no
108595,no
144879,no
135457,no
21004,si
83031,no
132308,no
85167,no
93188,si
28493,si
117610,no
87433,no
143747,si
121352,si
105379,no
37537,no
123505,si
138608,no
79747,no
10902,no
47224,si
114385,
88919,no
31912,no
126674,no
102443,no
31570,no
33597,no
57857,si
36358,si
138636,si
81837,no
127951,no
104853,no
87581,si
129229,no
81658,no
78479,no
26862,no
15919,no
59604,no
74636,no
79970,no
100571,no
113990,no
7306,si
100268,si
18804,no
115585,
60188,si
2219,no
88997,no
976,no
19912,no
85353,no
90934,no
121792,no
49147,no
66725,no
996,no
5883,no
51906,no
24734,no
101697,no
128878,no
89251,no
36339,no
127774,si
4516,si
15319,no
20444,no
131797,no
64024,no
5871,no
48312,no
35587,no
28877,no
22267,no
5467,no
62845,no
122270,no
62560,no
33834,no
57078,no
74418,no
65062,no
130739,si
79790,no
138590,no
65989,no
52982,no
21412,no
10229,si
71101,no
9033,no
115425,no
46438,no
76842,si
136360,no
141600,no
99251,no
68588,
117977,no
101215,si
62777,si
45823,no
626,si
77593,no
117295,no
144454,no
45442,no
123124,si
33366,no
9423,no
44693,no
101466,si
74121,no
18737,no
1567,no
52917,no
101539,si
15206,no
68265,no
27271,no
15514,no
128887,no
19056,si
10604,no
115862,si
92202,no
16572,si
86556,no
7909,no
126331,no
75118,no
123519,no
27794,no
37872,no
112356,no
34444,si
67265,no
107227,si
46578,no
117706,no
74885,no
136056,no
142562,si
126912,si
66883,no
134982,no
117235,no
134846,no
130009,no
42593,si
3198,no
123357,no
131722,no
94553,no
21874,no
78005,no
2697,si
15307,no
46966,no
81461,si
36596,no
79817,no
40522,no
145130,no
90739,no
33049,no
124795,no
29942,no
23874,no
131081,no
49828,no
115457,no
111272,si
91139,no
119588,no
141042,si
25503,no
59476,no
102194,si
137599,no
61226,no
65904,no
143723,si
84277,si
65792,no
122708,no
109150,no
122548,no
9999,si
53931,no
8302,no
90932,si
107215,no
2308,no
139956,no
131305,no
24876,no
138596,no
112597,no
50888,si
88611,si
122902,no
68986,no
33963,no
791,no
67520,no
42328,no
39796,no
8442,no
121119,no
38933,no
20908,no
46535,no
90340,si
39025,si
39581,si
95662,no
64056,si
99715,no
72462,no
39335,si
23628,si
86138,no
59284,si
20503,no
6406,si
15225,si
8234,no
33079,si
92108,no
77179,si
122638,no
131408,no
35427,no
97368,no
90784,si
70143,no
1016,no
118717,no
8423,no
124418,no
137004,no
130083,si
96047,no
88348,no
17577,si
3615,si
42375,no
90057,
8500,no
144085,no
10509,si
57623,no
43136,si
13816,no
24271,no
88214,no
9905,no
91224,no
10259,si
84096,no
62902,no
92455,no
135654,si
75230,no
53361,no
