id,tiene_alto_valor_adquisitivo
9,no
23,no
24,no
26,no
36,no
53,no
56,no
57,no
58,no
62,no
64,no
65,no
72,no
74,no
77,no
78,no
79,no
82,no
87,no
93,no
97,no
100,no
101,si
110,no
112,no
116,no
132,no
142,no
145,si
155,no
157,no
163,no
168,no
171,no
180,no
193,no
212,si
213,si
214,si
225,no
232,no
240,no
249,no
251,no
273,no
277,no
288,no
293,no
305,no
312,no
318,si
322,no
325,no
328,no
329,no
331,no
333,no
335,no
337,no
342,no
348,no
351,no
352,no
355,si
367,no
377,no
378,no
380,no
390,no
404,no
407,no
412,no
415,no
419,no
421,no
426,no
431,si
432,no
445,no
448,si
449,no
457,no
460,no
464,no
470,no
471,no
478,no
481,no
482,no
486,no
488,no
489,no
491,no
496,no
499,no
511,no
516,no
517,no
521,no
529,no
539,no
542,no
543,no
544,si
548,no
549,no
550,no
551,si
558,no
567,no
573,no
575,no
576,no
583,no
584,no
589,si
596,no
616,no
618,si
628,no
633,si
635,no
637,no
639,no
652,no
654,no
657,no
663,no
665,no
666,no
668,no
669,no
670,no
677,no
678,no
680,no
684,si
688,no
693,no
694,no
702,no
703,no
710,no
712,no
716,no
721,no
724,no
736,no
739,no
748,si
757,no
758,no
760,no
764,no
772,si
788,no
796,si
797,no
808,no
813,no
816,no
820,no
821,no
824,no
831,no
832,no
834,no
836,no
851,no
854,no
861,si
864,no
865,no
869,no
871,no
877,no
879,no
880,no
882,no
885,no
886,no
887,no
900,si
901,si
903,si
912,no
915,si
921,si
923,no
925,no
931,no
934,no
936,no
937,no
938,no
939,no
944,no
964,no
973,no
977,no
981,no
983,no
993,si
1001,si
1007,no
1015,no
1023,no
1026,no
1027,no
1028,no
1031,no
1040,no
1051,no
1055,no
1057,no
1059,si
1061,no
1064,si
1065,no
1067,no
1069,no
1071,no
1075,no
1077,no
1079,no
1083,no
1090,no
1092,no
1101,no
1109,no
1110,no
1114,no
1120,no
1122,no
1126,no
1127,no
1131,no
1133,no
1136,no
1145,no
1146,si
1151,no
1153,no
1156,si
1161,no
1166,no
1167,no
1169,no
1171,si
1173,no
1176,no
1178,no
1180,no
1182,no
1183,no
1184,no
1186,no
